Query,Assessment_url
"Content Writer required, expert in English and SEO.",https://www.shl.com/products/product-catalog/view/interpersonal-communications/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
"Content Writer required, expert in English and SEO.",https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/
"Content Writer required, expert in English and SEO.",https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/javascript-new/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/
"Find me 1 hour long assessment for QA Engineer with Java, JavaScript, CSS, HTML, Selenium, SQL skills",https://www.shl.com/solutions/products/product-catalog/view/java-8-new/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/products/product-catalog/view/interpersonal-communications/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/products/product-catalog/view/business-communication-adaptive/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/css3-new/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/products/product-catalog/view/interpersonal-communications/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report
"Marketing Manager who can drive brand positioning, community growth, and overall marketing strategy. No duration bar.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Based on the JD recommend me assessment for Consultant position - I/O Psychology, talent assessment, validation, leadership assessment, succession planning. Max 90 mins",https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/
"Based on the JD recommend me assessment for Consultant position - I/O Psychology, talent assessment, validation, leadership assessment, succession planning. Max 90 mins",https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/
"Based on the JD recommend me assessment for Consultant position - I/O Psychology, talent assessment, validation, leadership assessment, succession planning. Max 90 mins",https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/
"Based on the JD recommend me assessment for Consultant position - I/O Psychology, talent assessment, validation, leadership assessment, succession planning. Max 90 mins",https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report
